"","crop","type","season","diameter","corolla","colour","nectar","b.system","s.pollination","inflorescence","composite","visitor","guild","tongue","body","sociality","feeding"
"713","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_morio","SWEAT BEES",NA,5.5,"no","polylectic"
"714","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_parvulum","SWEAT BEES",NA,6,"no","polylectic"
"715","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_pauperatum","SWEAT BEES",NA,NA,NA,"polylectic"
"716","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_pauxillum","SWEAT BEES",NA,5.5,"yes","polylectic"
"717","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_politum","SWEAT BEES",NA,6,"yes","polylectic"
"718","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_punctatissimum","SWEAT BEES",NA,6.5,NA,"polylectic"
"719","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_puncticolle","SWEAT BEES",NA,NA,"no","polylectic"
"720","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_pygmaeum","SWEAT BEES",NA,6,NA,"polylectic"
"721","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_subhirtum","SWEAT BEES",NA,NA,"yes","polylectic"
"722","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_xanthopus","SWEAT BEES",NA,11.5,"no","polylectic"
"723","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Sphecodes_longulus","SWEAT BEES",NA,NA,"no","parasitic"
"724","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Sphecodes_majalis","SWEAT BEES",NA,8.5,"no","parasitic"
"725","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Sphecodes_monilicornis","SWEAT BEES",NA,10,"no","parasitic"
"726","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Sphecodes_niger","SWEAT BEES",NA,5.5,"no","parasitic"
"727","Arachis_hypogaea","herbaceous","summer",4.23,"TUBULAR","yellow","no","insects","yes","solitary","no","Lasioglossum_reticulatum","SWEAT BEES",NA,8,NA,"polylectic"
"728","Allium_oleraceum","herbaceous","summer",NA,"CAMPANULATE","purple","yes","insects","no","yes","no","Sphaerophoria_loewi","SYRPHIDS",NA,NA,"no",NA
"729","Allium_oleraceum","herbaceous","summer",NA,"CAMPANULATE","purple","yes","insects","no","yes","no","Syrphus_ribesii","SYRPHIDS",3.47,11,"no","polylectic"
"730","Allium_oleraceum","herbaceous","summer",NA,"CAMPANULATE","purple","yes","insects","no","yes","no","Volucella_inanis","SYRPHIDS",NA,16,"no","polylectic"
"731","Allium_oleraceum","herbaceous","summer",NA,"CAMPANULATE","purple","yes","insects","no","yes","no","Volucella_pellucens","SYRPHIDS",7.24,15,"no","polylectic"
"732","Capsicum_annuum","herbaceous","summer",15,"CAMPANULATE","white","yes","insects","yes","solitary","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"733","Allium_cepa","arboreous","summer",5,"OPEN","pink","yes","insects","no","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"734","Allium_cepa","arboreous","summer",5,"OPEN","pink","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"735","Allium_cepa","arboreous","summer",5,"OPEN","pink","yes","insects","no","yes","no","Eupeodes_corollae","SYRPHIDS",NA,8.5,"no","polylectic"
"736","Allium_cepa","arboreous","summer",5,"OPEN","pink","yes","insects","no","yes","no","Sphaerophoria_scripta","SYRPHIDS",NA,10,"no",NA
"737","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"738","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"739","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Eupeodes_corollae","SYRPHIDS",NA,8.5,"no","polylectic"
"740","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Melanostoma","SYRPHIDS",NA,8,"no",NA
"741","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Syrphus_vitripennis","SYRPHIDS",2.3,10,"no","polylectic"
"742","Brassica_rapa","herbaceous","spriaut",NA,"OPEN","yellow","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"743","Citrus_reticulata","arboreous","spring",NA,"OPEN","white","yes","insects","no","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"744","Coriandrum_sativum","arboreous","spriaut",NA,"OPEN","white","yes","insects","no","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"745","Coriandrum_sativum","arboreous","spriaut",NA,"OPEN","white","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"746","Daucus_carota","herbaceous","summer",3,"OPEN","white","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"747","Fagopyrum_esculentum","herbaceous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"748","Fagopyrum_esculentum","herbaceous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Sphaerophoria_scripta","SYRPHIDS",NA,10,"no",NA
"749","Fagopyrum_esculentum","herbaceous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Syritta_pipiens","SYRPHIDS",3.54,8,"no","polylectic"
"750","Foeniculum_vulgare","herbaceous","summer",9,"OPEN","yellow","yes","insects","no","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"751","Helianthus_annuus","herbaceous","summer",NA,"OPEN","yellow","yes","insects","no","yes","yes","Eristalinus_taeniops","SYRPHIDS",NA,NA,"no",NA
"752","Linum_usitatissimum","herbaceous","summer",20,"OPEN","blue","yes","insects","yes","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"753","Linum_usitatissimum","herbaceous","summer",20,"OPEN","blue","yes","insects","yes","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"754","Linum_usitatissimum","herbaceous","summer",20,"OPEN","blue","yes","insects","yes","yes","no","Eupeodes_corollae","SYRPHIDS",NA,8.5,"no","polylectic"
"755","Linum_usitatissimum","herbaceous","summer",20,"OPEN","blue","yes","insects","yes","yes","no","Melanostoma","SYRPHIDS",NA,8,"no",NA
"756","Litchi_chinensis","arboreous","spring",2.5,"OPEN","white","yes","insects","yes","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"757","Litchi_chinensis","arboreous","spring",2.5,"OPEN","white","yes","insects","yes","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"758","Litchi_chinensis","arboreous","spring",2.5,"OPEN","white","yes","insects","yes","yes","no","Eupeodes_corollae","SYRPHIDS",NA,8.5,"no","polylectic"
"759","Litchi_chinensis","arboreous","spring",2.5,"OPEN","white","yes","insects","yes","yes","no","Melanostoma","SYRPHIDS",NA,8,"no",NA
"760","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Cheilosia_intonsa","SYRPHIDS",NA,NA,"no",NA
"761","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Eristalis_arbustorum","SYRPHIDS",NA,10.5,"no","polylectic"
"762","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Eristalis_intricarius","SYRPHIDS",6.72,NA,"no",NA
"763","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Eristalis_pertinax","SYRPHIDS",6.44,NA,"no",NA
"764","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"765","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Helophilus_pendulus","SYRPHIDS",2.75,NA,"no",NA
"766","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Leucozona_lucorum","SYRPHIDS",4.9,NA,"no",NA
"767","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Melanostoma","SYRPHIDS",NA,8,"no",NA
"768","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Syritta_pipiens","SYRPHIDS",3.54,8,"no","polylectic"
"769","Prunus_domestica","arboreous","spring",12.5,"OPEN","white","yes","insects","no","solitary/clusters","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"770","Prunus_domestica","arboreous","spring",12.5,"OPEN","white","yes","insects","no","solitary/clusters","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"771","Prunus_dulcis","arboreous","spring",37.5,"OPEN","pink","yes","insects","no","solitary/clusters","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"772","Prunus_dulcis","arboreous","spring",37.5,"OPEN","pink","yes","insects","no","solitary/clusters","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"773","Prunus_persica","arboreous","spring",27.5,"OPEN","pink","yes","wind/insects","no","solitary/pairs","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"774","Prunus_persica","arboreous","spring",27.5,"OPEN","pink","yes","wind/insects","no","solitary/pairs","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"775","Rubus_chamaemorus","herbaceous","summer",25,"OPEN","white","yes","insects","no","solitary","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"776","Rubus_chamaemorus","herbaceous","summer",25,"OPEN","white","yes","insects","no","solitary","no","Melanostoma_mellinum","SYRPHIDS",2,6.5,"no","polylectic"
"777","Sambucus_caerulea","arboreous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"778","Sambucus_caerulea","arboreous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Syrphus_ribesii","SYRPHIDS",3.47,11,"no","polylectic"
"779","Sambucus_canadensis","arboreous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"780","Sambucus_canadensis","arboreous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Syrphus_ribesii","SYRPHIDS",3.47,11,"no","polylectic"
"781","Sambucus_microbotrys","arboreous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"782","Sambucus_microbotrys","arboreous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Syrphus_ribesii","SYRPHIDS",3.47,11,"no","polylectic"
"783","Sambucus_racemosa","arboreous","spring",NA,"OPEN","white","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"784","Sambucus_racemosa","arboreous","spring",NA,"OPEN","white","yes","insects","no","yes","no","Syrphus_ribesii","SYRPHIDS",3.47,11,"no","polylectic"
"785","Sambucus_simpsonii","arboreous","year",NA,"OPEN","white","yes","insects","no","yes","no","Eristalis_tenax","SYRPHIDS",5,15,"no","polylectic"
"786","Sambucus_simpsonii","arboreous","year",NA,"OPEN","white","yes","insects","no","yes","no","Syrphus_ribesii","SYRPHIDS",3.47,11,"no","polylectic"
"787","Vitis_vinifera","arboreous","spring",NA,"OPEN","green","yes","insects","no","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"788","Vitis_vinifera","arboreous","spring",NA,"OPEN","green","yes","insects","no","yes","no","Melanostoma","SYRPHIDS",NA,8,"no",NA
"789","Vitis_vinifera","arboreous","spring",NA,"OPEN","green","yes","insects","no","yes","no","Sphaerophoria_scripta","SYRPHIDS",NA,10,"no",NA
"790","Amomum_subulatum","herbaceous","spring",NA,"TUBULAR","yellow","yes","insects/birds","no","yes","no","Episyrphus_balteatus","SYRPHIDS",NA,10.5,"no","polylectic"
"791","Allium_oleraceum","herbaceous","summer",NA,"CAMPANULATE","purple","yes","insects","no","yes","no","Dolichovespula_norwegica","WASPS",NA,14.5,"yes","polylectic"
"792","Allium_oleraceum","herbaceous","summer",NA,"CAMPANULATE","purple","yes","insects","no","yes","no","Dolichovespula_saxonica","WASPS",NA,13,"yes","polylectic"
"793","Jatropha_curcas","arboreous","spriaut",2,"OPEN","green","yes","insects","no","yes","no","Bembecinus_tridens","WASPS",NA,9,"no",NA
"794","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Vespula_vulgaris","WASPS",NA,12.5,"yes","polylectic"
"795","Phaseolus_coccineus","herbaceous","summer",NA,"OPEN","white","yes","insects","no","yes","no","Philanthus_triangulum","WASPS",NA,15,"no","polylectic"
"796","Capparis_spinosa","arboreous","summer",50,"OPEN","white","yes","insects","no","solitary","no","Bembecinus_tridens","WASPS",NA,9,"no",NA
